ABergo,http://dbpedia.org/resource/Abergorlech,Abergorlech
Adrian,http://dbpedia.org/resource/Edirne,Edirne
Alik,http://dbpedia.org/resource/Halicarnassus,Halicarnassus
allyson,http://dbpedia.org/resource/Alyson_Hannigan,Alyson Hannigan
andrew,http://dbpedia.org/resource/Andrew_Jackson,Andrew Jackson
asc,"http://dbpedia.org/resource/El_Paso,_Texas","El Paso, Texas"
AYM,http://dbpedia.org/resource/Ayumi_Hamasaki,Ayumi Hamasaki
Ban,http://dbpedia.org/resource/Bangladesh,Bangladesh
Bill,http://dbpedia.org/resource/Billboard_(magazine),Billboard (magazine)
Bob Marshall,http://dbpedia.org/resource/Bob_Marshall_(wilderness_activist),Bob Marshall (wilderness activist)
Bryan,http://dbpedia.org/resource/Brian_Eno,Brian Eno
CB,http://dbpedia.org/resource/Order_of_the_British_Empire,Order of the British Empire
Chad,http://dbpedia.org/resource/Chad,Chad
cheri,http://dbpedia.org/resource/Colette,Colette
CHUN-JU,http://dbpedia.org/resource/Chun_Jung-myung,Chun Jung-myung
City and County of Honolulu,"http://dbpedia.org/resource/Honolulu_County,_Hawaii","Honolulu County, Hawaii"
CKL,http://dbpedia.org/resource/CKLW,CKLW
Conor,http://dbpedia.org/resource/Box_Office_Mojo,Box Office Mojo
County of Hawaii,"http://dbpedia.org/resource/Hawaii_County,_Hawaii","Hawaii County, Hawaii"
County of Maui,"http://dbpedia.org/resource/Maui_County,_Hawaii","Maui County, Hawaii"
Crystal,http://dbpedia.org/resource/Crystal_Palace_F.C.,Crystal Palace F.C.
Cy,http://dbpedia.org/resource/Cyprus,Cyprus
DAGS,http://dbpedia.org/resource/Dagsavisen,Dagsavisen
Dale,http://dbpedia.org/resource/Valley,Valley
deanna,http://dbpedia.org/resource/Deanna_Troi,Deanna Troi
Department of defense,http://dbpedia.org/resource/United_States_Department_of_Defense,United States Department of Defense
Department of Defense,http://dbpedia.org/resource/United_States_Department_of_Defense,United States Department of Defense
Department of Health,http://dbpedia.org/resource/United_States_Department_of_Health_and_Human_Services,United States Department of Health and Human Services
Department of Human Resources,http://dbpedia.org/resource/Human_Resources_and_Skills_Development_Canada,Human Resources and Skills Development Canada
Department of Human Resources Development,http://dbpedia.org/resource/Human_Resources_and_Skills_Development_Canada,Human Resources and Skills Development Canada
Department of Taxation,http://dbpedia.org/resource/New_York_State_Department_of_Taxation_and_Finance,New York State Department of Taxation and Finance
DHS,http://dbpedia.org/resource/United_States_Department_of_Homeland_Security,United States Department of Homeland Security
Diversey,http://dbpedia.org/resource/Unilever,Unilever
dks,http://dbpedia.org/resource/Dinka_language,Dinka language
DOH,http://dbpedia.org/resource/Doha,Doha
Doug Gray,http://dbpedia.org/resource/Doug_Gray,Doug Gray
Eo,http://dbpedia.org/resource/Eocene,Eocene
Erick,http://dbpedia.org/resource/John_Ericsson,John Ericsson
Genelle,http://dbpedia.org/resource/Genelle_Williams,Genelle Williams
Hawaii State Legislature,http://dbpedia.org/resource/Hawaii_State_Legislature,Hawaii State Legislature
Hawaii State Public Library,http://dbpedia.org/resource/Hawaii_State_Public_Library_System,Hawaii State Public Library System
Hawaii State Public Library System,http://dbpedia.org/resource/Hawaii_State_Public_Library_System,Hawaii State Public Library System
Health,http://dbpedia.org/resource/Disease,Disease
Janet,http://dbpedia.org/resource/Janet_Jackson,Janet Jackson
Juliet,http://dbpedia.org/resource/Romeo_and_Juliet,Romeo and Juliet
Kaisa,http://dbpedia.org/resource/Caesar_(title),Caesar (title)
Kanoe,http://dbpedia.org/resource/Kanoê_language,Kanoê language
karen,http://dbpedia.org/resource/Pete_Townshend,Pete Townshend
Kathy,http://dbpedia.org/resource/Baby_boomer,Baby boomer
Kayla,http://dbpedia.org/resource/Touch_(TV_series),Touch (TV series)
Ken,http://dbpedia.org/resource/Kenya,Kenya
Kevin,http://dbpedia.org/resource/Kevin_Rudd,Kevin Rudd
Les,http://dbpedia.org/resource/Lesbian,Lesbian
Lisi,http://dbpedia.org/resource/Furosemide,Furosemide
maggi,http://dbpedia.org/resource/Margaret_Thatcher,Margaret Thatcher
Mark,http://dbpedia.org/resource/Marketing,Marketing
Michael Christopher,http://dbpedia.org/resource/Mike_Phelan,Mike Phelan
Molly,http://dbpedia.org/resource/Malayalam_cinema,Malayalam cinema
Nathan,http://dbpedia.org/resource/Brahma,Brahma
Nathaniel,http://dbpedia.org/resource/Nat_King_Cole,Nat King Cole
nick,http://dbpedia.org/resource/Nickelodeon,Nickelodeon
OIMT,http://dbpedia.org/resource/Tabas_Airport,Tabas Airport
Partha,http://dbpedia.org/resource/Arjuna,Arjuna
Paul,http://dbpedia.org/resource/Paul_McCartney,Paul McCartney
PSD,http://dbpedia.org/resource/Adobe_Photoshop,Adobe Photoshop
queen bee,http://dbpedia.org/resource/Lil'_Kim,Lil' Kim
Randy,http://dbpedia.org/resource/Randy_Orton,Randy Orton
RT,http://dbpedia.org/resource/Raidió_Teilifís_Éireann,Raidió Teilifís Éireann
Ruderman,http://dbpedia.org/resource/RKKY_interaction,RKKY interaction
Russell,http://dbpedia.org/resource/Bertrand_Russell,Bertrand Russell
sakurai,http://dbpedia.org/resource/Masahiro_Sakurai,Masahiro Sakurai
Scott,http://dbpedia.org/resource/Scotland,Scotland
sjo,http://dbpedia.org/resource/Dmitri_Shostakovich,Dmitri Shostakovich
Socrata,http://dbpedia.org/resource/Socrata,Socrata
Sophie,http://dbpedia.org/resource/Catherine_the_Great,Catherine the Great
Toodle,http://dbpedia.org/resource/Woodwind_instrument,Woodwind instrument
Tsurumi,http://dbpedia.org/resource/Tsurumi_Station,Tsurumi Station
will,http://dbpedia.org/resource/United_States,United States
Willy,http://dbpedia.org/resource/Penis,Penis
